label-coarse,label-fine,text
0,0,How did serfdom develop in and then leave Russia ?
1,1,What films featured the character Popeye Doyle ?
0,0,How can I find a list of celebrities ' real names ?
1,2,What fowl grabs the spotlight after the Chinese Year of the Monkey ?
2,3,What is the full form of .com ?
3,4,What contemptible scoundrel stole the cork from my lunch ?
3,5,What team did baseball 's St. Louis Browns become ?
3,6,What is the oldest profession ?
0,7,What are liver enzymes ?
3,4,Name the scar-faced bounty hunter of The Old West .
4,8,When was Ozzy Osbourne born ?
0,9,Why do heavier objects travel downhill faster ?
3,4,Who was The Pride of the Yankees ?
3,4,Who killed Gandhi ?
1,10,What is considered the costliest disaster the insurance industry has ever faced ?
5,11,What sprawling U.S. state boasts the most airports ?
0,12,What did the only repealed amendment to the U.S. Constitution deal with ?
4,13,How many Jews were executed in concentration camps during WWII ?
0,7,What is `` Nine Inch Nails '' ?
0,7,What is an annotated bibliography ?
4,8,What is the date of Boxing Day ?
1,14,What articles of clothing are tokens in Monopoly ?
3,4,Name 11 famous martyrs .
0,12,What 's the Olympic motto ?
0,12,What is the origin of the name ` Scarlett ' ?
1,15,What 's the second-most-used vowel in English ?
3,4,Who was the inventor of silly putty ?
5,14,What is the highest waterfall in the United States ?
1,14,Name a golf course in Myrtle Beach .
5,11,Which two states enclose Chesapeake Bay ?
2,3,What does the abbreviation AIDS stand for ?
1,14,What does a spermologer collect ?
4,13,How many points make up a perfect fivepin bowling score ?
3,5,Which company that manufactures video-game hardware sells the `` super system '' ?
4,13,How many Community Chest cards are there in Monopoly ?
0,12,What do Mormons believe ?
4,8,When did the neanderthal man live ?
1,16,In what religion was Isis the nature goddess ?
5,14,Where do the adventures of `` The Swiss Family Robinson '' take place ?
1,2,What relative of the racoon is sometimes known as the cat-bear ?
0,0,How can I register my website in Yahoo for free ?
1,14,What was cash-conscious Colonel Edwin L. Drake the first to drill ?
4,13,How many people in the world speak French ?
4,13,How many inches over six feet is the Venus de Milo ?
0,0,How do they find or choose witnesses to an execution ?
3,4,What 1920s cowboy star rode Tony the Wonder Horse ?
1,17,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
3,5,What ISPs exist in the Caribbean ?
0,0,How do you ask a total stranger out on a date ?
1,14,What weapon is the mythological character Apollo most proficient with ?
5,18,What country do the Galapagos Islands belong to ?
0,7,What is ethology ?
3,4,Who was the prophet of the Muslim people ?
0,12,Where did the term `` 86ed '' come from ?
3,4,Who is Snoopy 's arch-enemy ?
0,7,What is the nature of learning ?
1,19,What 's the only color Johnny Cash wears on stage ?
1,20,What 's the term for a young fox ?
5,11,What U.S. state lived under six flags ?
0,7,What is the Kashmir issue ?
5,14,Where is the Loop ?
0,7,What does `` extended definition '' mean and how would one write a paper on it ?
5,18,What country 's capital is Tirana ?
0,7,What is titanium ?
3,4,Who do Herb and Tootsie live next door to ?
5,21,Which city has the oldest relationship as a sister city with Los Angeles ?
0,7,What is a caldera ?
0,9,Why do people get calluses ?
5,14,What are the names of the tourist attractions in Reims ?
0,9,What are Cushman and Wakefield known for ?
5,14,What body of water does the Danube River flow into ?
3,4,Who is the founder of Scientology ?
1,14,What does the six-footed Musca domestica become when it enters a house ?
0,12,What is the history of skateboarding ?
3,4,Who starred in Singing in the Rain and The Singing Nun ?
